ID,KEY,English,French,Spanish, 
0,T_TITLE,KOI,KOÏ,KOI, 
1,T_PRESSTOSTART,Press any button,Appuye sur un bouton,Pulsa cualquier botón, 
2,T_NEWGAME,New Game,Nouvelle Partie,Nueva Partida, 
3,T_SETTINGS,Settings,Paramêtre,Configuración, 
4,T_QUIT,Quit,Quitter,Salir, 
5,T_OPTION,Option,Option,Opción, 
6,T_AUDIO,Audio,Audio,Audio,  
7,T_MASTERVOLUME,Master Volume,Volume Principal,Volumen Principal, 
8,T_MUSICVOLUME,Music Volume,Volume Musique,Volumen de Música,
9,T_FXVOLUME,FX Volume,Volume FX,Volumen de Efectos, 
10,T_VIDEO,Video,Vidéo,Video,  
11,T_SCREENSIZE,Screen Size,Taille d'écran,Tamaño de Pantalla,  
12,T_SCREENTYPE,Screen Type,Type d'écran,Tipo de Pantalla,
13,T_CONTROLS,Controls,Controls,Controles, 
14,T_KEYBOARD,Keyboard,Clavier,Teclado,  
15,T_CONTROLLER,Controller,Manette,Mando,  
16,T_CLOSE,Close,Fermer,Cerrar,  
17,T_SHAKE,Use screen shake,Utiliser le tremblement d'écran,Usar la sacudida de pantalla,  
18,T_PARALLAX,Use parallax,Utiliser le parallaxe,Usar el paralaje,
19,T_ACCESSIBILITY,Accessibility,Accessibilité,Accesibilidad,
20,T_LANGUAGE,Language,Langue,Idioma,  
21,T_GENERAL,Global,General,Global,  
22,T_RESTART,Restart,Recommencer,Restado,  
23,T_CONTINUE,Resume,Continuer,Continuar,  
